keyword,category
host,staff
anchor,staff
correspondent,staff
analyst,staff
contributor,staff
cnn,staff
senator,guest
sen.,guest
rep.,guest
representative,guest
congressman,guest
congresswoman,guest
president,guest
vice president,guest
governor,guest
gov.,guest
secretary,guest
attorney,guest
mayor,guest
ambassador,guest
professor,guest
director,guest
spokesman,guest
spokeswoman,guest
spokesperson,guest
minister,guest
general,guest
chairman,guest
chairwoman,guest
ceo,guest
author,guest
republican,guest
democrat,guest
