# Maps a keyword found in a speaker's role string to an institutional SECTOR --
# who the source is, independent of why they were cited (that is the epistemic
# lexicon's job; the two are matched independently and crossed).
#
# Matching is LONGEST-KEYWORD-WINS, case-insensitive, on the role string after
# delivery modifiers and party tags are stripped. Row order is therefore
# irrelevant and rows are grouped by sector for reading. This deliberately
# differs from office_lexicon.csv, whose first-hit-in-file-order rule makes
# every insertion a chance to shadow an existing entry.
#
# Coverage is partial by design: an unmatched role gets sector "unknown" and is
# reported as such rather than swept into "other".
keyword,sector,note
# --- government: executive -------------------------------------------------
president of the united states,government_executive,
president of the united states of america,government_executive,
u.s. president,government_executive,
vice president of the united states,government_executive,
first lady,government_executive,
white house press secretary,government_executive,
white house press secy.,government_executive,
press secretary,government_executive,
white house,government_executive,
state department,government_executive,
secretary of state,government_executive,
secretary of defense,government_executive,
defense secretary,government_executive,
secretary of,government_executive,cabinet catch-all
attorney general,government_executive,
national security adviser,government_executive,
national security advisor,government_executive,
cia director,government_executive,
homeland security,government_executive,
surgeon general,government_executive,
white house counsel,government_executive,
chief of staff,government_executive,
cabinet,government_executive,
administration official,government_executive,
treasury,government_executive,
# Bare "president" is the corpus's most common role token (6.3% of turns) and
# is usually a head of state. Business uses of it are caught by the longer
# keywords below, which win under longest-match.
president,government_executive,
prime minister,government_executive,
foreign minister,government_executive,
defense minister,government_executive,
finance minister,government_executive,
interior minister,government_executive,
health minister,government_executive,
deputy prime minister,government_executive,
chancellor,government_executive,
ambassador,government_executive,
diplomat,government_executive,
special envoy,government_executive,
secretary-general,government_executive,
secretary general,government_executive,
united nations,government_executive,
king,government_executive,
queen,government_executive,
crown prince,government_executive,
head of state,government_executive,
governing council,government_executive,
# business uses of "president" -- longer, so these win
president and ceo,business,
company president,business,
bank president,business,
club president,business,
university president,academic,
# --- government: legislative -----------------------------------------------
u.s. senate,government_legislative,
senator,government_legislative,
sen.,government_legislative,
congressman,government_legislative,
congresswoman,government_legislative,
representative,government_legislative,
u.s. house,government_legislative,
rep.,government_legislative,
house speaker,government_legislative,
speaker of the house,government_legislative,
majority leader,government_legislative,
minority leader,government_legislative,
member of parliament,government_legislative,
parliament member,government_legislative,
lawmaker,government_legislative,
# --- government: subnational -----------------------------------------------
governor,government_subnational,
gov.,government_subnational,
lieutenant governor,government_subnational,
mayor,government_subnational,
city council,government_subnational,
county commissioner,government_subnational,
state senator,government_subnational,
state representative,government_subnational,
city manager,government_subnational,
school board,government_subnational,
# --- judicial / legal ------------------------------------------------------
supreme court justice,judicial_legal,
chief justice,judicial_legal,
justice,judicial_legal,
judge,judicial_legal,
magistrate,judicial_legal,
circuit court,judicial_legal,
district attorney,judicial_legal,
prosecutor,judicial_legal,
defense attorney,judicial_legal,
criminal defense attorney,judicial_legal,
civil rights attorney,judicial_legal,
u.s. attorney,judicial_legal,
attorney,judicial_legal,
lawyer,judicial_legal,
counsel,judicial_legal,
legal analyst,judicial_legal,
legal expert,judicial_legal,
public defender,judicial_legal,
jury consultant,judicial_legal,
juror,judicial_legal,
law professor,academic,credential outranks the courtroom
# --- law enforcement -------------------------------------------------------
police department,law_enforcement,
police chief,law_enforcement,
police,law_enforcement,
sheriff,law_enforcement,
fbi,law_enforcement,
fbi director,law_enforcement,
special agent,law_enforcement,
detective,law_enforcement,
dea,law_enforcement,
atf,law_enforcement,
secret service,law_enforcement,
u.s. marshal,law_enforcement,
criminal investigator,law_enforcement,
private investigator,law_enforcement,
corrections,law_enforcement,
warden,law_enforcement,
# --- military --------------------------------------------------------------
pentagon,military,
# Longest-match runs per axis and does not compose within one: "press secretary"
# is longer than "pentagon" and would otherwise pull this to the executive.
pentagon press secretary,military,
pentagon spokesman,military,
defense department,military,
u.s. army,military,
u.s. navy,military,
u.s. air force,military,
u.s. marine,military,
u.s. coast guard,military,
army,military,
navy,military,
marine corps,military,
air force,military,
coast guard,military,
national guard,military,
joint chiefs,military,
navy seal,military,
green beret,military,
lt. gen.,military,
maj. gen.,military,
brig. gen.,military,
colonel,military,
sergeant,military,
lieutenant,military,
commander,military,
admiral,military,
military analyst,military,
# --- party / campaign ------------------------------------------------------
republican strategist,party_campaign,
democratic strategist,party_campaign,
republican consultant,party_campaign,
democratic consultant,party_campaign,
political strategist,party_campaign,
political consultant,party_campaign,
strategist,party_campaign,
campaign manager,party_campaign,
campaign chairman,party_campaign,
campaign adviser,party_campaign,
campaign spokesman,party_campaign,
presidential candidate,party_campaign,
candidate,party_campaign,
party chairman,party_campaign,
national committee,party_campaign,
pollster,party_campaign,
# --- business --------------------------------------------------------------
chief executive,business,
ceo,business,
cfo,business,
coo,business,
chairman,business,
founder,business,
co-founder,business,
president and ceo,business,
executive,business,
entrepreneur,business,
investor,business,
economist,academic,credential outranks the firm
market analyst,business,
financial analyst,business,
stock analyst,business,
business owner,business,
owner,business,
restaurant owner,business,
real estate,business,
airline,business,
# --- academic --------------------------------------------------------------
professor,academic,
university,academic,
college,academic,
ph.d.,academic,
dean,academic,
historian,academic,
presidential historian,academic,
scientist,academic,
researcher,academic,
research fellow,academic,
sociologist,academic,
political scientist,academic,
anthropologist,academic,
epidemiologist,academic,
virologist,academic,
seismologist,academic,
astronomer,academic,
lecturer,academic,
# --- think tank ------------------------------------------------------------
brookings institution,think_tank,
heritage foundation,think_tank,
council on foreign relations,think_tank,
american enterprise institute,think_tank,
cato institute,think_tank,
carnegie endowment,think_tank,
rand corporation,think_tank,
atlantic council,think_tank,
center for strategic,think_tank,
urban institute,think_tank,
hoover institution,think_tank,
senior fellow,think_tank,
think tank,think_tank,
# --- nonprofit / advocacy --------------------------------------------------
red cross,nonprofit_advocacy,
amnesty international,nonprofit_advocacy,
human rights watch,nonprofit_advocacy,
aclu,nonprofit_advocacy,
naacp,nonprofit_advocacy,
greenpeace,nonprofit_advocacy,
sierra club,nonprofit_advocacy,
planned parenthood,nonprofit_advocacy,
advocacy,nonprofit_advocacy,
activist,nonprofit_advocacy,
charity,nonprofit_advocacy,
nonprofit,nonprofit_advocacy,
relief organization,nonprofit_advocacy,
humanitarian,nonprofit_advocacy,
# --- labor -----------------------------------------------------------------
union president,labor_union,
labor union,labor_union,
afl-cio,labor_union,
teamsters,labor_union,
union leader,labor_union,
union representative,labor_union,
# --- religious -------------------------------------------------------------
rev.,religious,
reverend,religious,
pastor,religious,
priest,religious,
bishop,religious,
archbishop,religious,
cardinal,religious,
rabbi,religious,
imam,religious,
minister of religion,religious,
chaplain,religious,
theologian,religious,
evangelist,religious,
# --- media (other outlets) -------------------------------------------------
magazine,media,
newspaper,media,
columnist,media,
syndicated columnist,media,
journalist,media,
editor,media,
editor in chief,media,
reporter,media,
correspondent,media,
news,media,
associated press,media,
reuters,media,
abc news,media,
cbs news,media,
nbc news,media,
fox news,media,
npr,media,
bbc,media,
politico,media,
bloomberg,media,
publisher,media,
media critic,media,
blogger,media,
podcast,media,
# People whose standing is that they publish or opine in public, with no other
# institutional home. "media" is the least-bad fit: they are in the business of
# public communication. Flagged here because it is the shakiest call in this
# lexicon and validation should measure it specifically.
author,media,ambiguous: many are book-tour bookings, closer to entertainment
writer,media,see author
commentator,media,
social commentator,media,
political commentator,media,
essayist,media,
correspondent for,media,
freelance journalist,media,
war correspondent,media,
foreign correspondent,media,
photojournalist,media,
# --- head nouns from the unclassified ranking ------------------------------
# Bare "director" is the single most common unmatched head (1.4% of guest
# turns) and is genuinely ambiguous -- film, organisation, agency -- so it is
# deliberately absent. Only the qualified forms are coded.
managing director,business,
executive director,nonprofit_advocacy,standard NGO title; some are firms
research director,academic,
campaign director,party_campaign,
athletic director,entertainment_sport,
funeral director,business,
director general,government_executive,
bureau chief,media,
weapons inspector,government_executive,
inspector general,government_executive,
canvassing board,government_subnational,
election commission,government_subnational,
nasa,government_executive,
nasa administrator,government_executive,
faa administrator,government_executive,
epa administrator,government_executive,
fema administrator,government_executive,
fda commissioner,government_executive,
police commissioner,law_enforcement,
nfl commissioner,entertainment_sport,
transportation secretary,government_executive,
energy secretary,government_executive,
commerce secretary,government_executive,
labor secretary,government_executive,
education secretary,government_executive,
treasury secretary,government_executive,
agriculture secretary,government_executive,
interior secretary,government_executive,
homeland security secretary,government_executive,
health and human services secretary,government_executive,
# --- professional (credentialed, non-academic) -----------------------------
medical center,professional,
life coach,professional,
fitness expert,professional,
nutritionist,professional,
dietician,professional,
psychic,professional,so labelled by the network; not an endorsement
astronaut,professional,
animal trainer,professional,
personal trainer,professional,
funeral,professional,
meteorologist,professional,
ams meteorologist,professional,
psychologist,professional,
clinical psychologist,professional,
psychiatrist,professional,
psychotherapist,professional,
therapist,professional,
forensic pathologist,professional,
pathologist,professional,
medical examiner,professional,
physician,professional,
surgeon,professional,
doctor,professional,
nurse,professional,
paramedic,professional,
firefighter,professional,
pilot,professional,
engineer,professional,
architect,professional,
accountant,professional,
veterinarian,professional,
dietitian,professional,
security consultant,professional,
criminologist,professional,
forensic scientist,professional,
handwriting expert,professional,
teacher,professional,
principal of,professional,school principal
school teacher,professional,
social worker,professional,
translator,professional,
interpreter,professional,
aviation expert,professional,
terrorism expert,professional,
domestic violence expert,professional,
body language expert,professional,
# --- entertainment / sport -------------------------------------------------
actor,entertainment_sport,
actress,entertainment_sport,
comedian,entertainment_sport,
singer,entertainment_sport,
musician,entertainment_sport,
rapper,entertainment_sport,
entertainer,entertainment_sport,
filmmaker,entertainment_sport,
film director,entertainment_sport,
producer,entertainment_sport,
screenwriter,entertainment_sport,
chef,entertainment_sport,
artist,entertainment_sport,
photographer,entertainment_sport,
reality tv,entertainment_sport,
talk show host,entertainment_sport,
model,entertainment_sport,
dancer,entertainment_sport,
nfl,entertainment_sport,
nba,entertainment_sport,
mlb,entertainment_sport,
nhl,entertainment_sport,
olympic,entertainment_sport,
athlete,entertainment_sport,
quarterback,entertainment_sport,
head coach,entertainment_sport,
sportscaster,entertainment_sport,
boxer,entertainment_sport,
comedienne,entertainment_sport,
tennis player,entertainment_sport,
basketball player,entertainment_sport,
baseball player,entertainment_sport,
football player,entertainment_sport,
hockey player,entertainment_sport,
soccer player,entertainment_sport,
golfer,entertainment_sport,
professional golfer,entertainment_sport,
gymnast,entertainment_sport,
swimmer,entertainment_sport,
skater,entertainment_sport,
wrestler,entertainment_sport,
racing driver,entertainment_sport,
fashion designer,entertainment_sport,
tv star,entertainment_sport,
movie star,entertainment_sport,
pop star,entertainment_sport,
film critic,media,
movie critic,media,
book critic,media,
theater critic,media,
narrator,media,
# --- private individuals ---------------------------------------------------
mother,private_individual,
father,private_individual,
wife,private_individual,
husband,private_individual,
son,private_individual,
daughter,private_individual,
brother,private_individual,
sister,private_individual,
grandmother,private_individual,
grandfather,private_individual,
widow,private_individual,
friend,private_individual,
neighbor,private_individual,
classmate,private_individual,
co-worker,private_individual,
witness,private_individual,
eyewitness,private_individual,
survivor,private_individual,
victim,private_individual,
defendant,private_individual,
charged with,private_individual,
convicted,private_individual,
accused,private_individual,
inmate,private_individual,
suspect,private_individual,
plaintiff,private_individual,
passenger,private_individual,
resident,private_individual,
student,private_individual,
refugee,private_individual,
volunteer,private_individual,
protester,private_individual,
employee,private_individual,
customer,private_individual,
homeowner,private_individual,
taxpayer,private_individual,
voter,private_individual,
citizen,private_individual,
# The mirror gap: these had an epistemic entry but no sector one, so the turn
# got a role and no institutional home. TRUMP SUPPORTER alone is 8,296 turns.
supporter,private_individual,
patient,private_individual,
consumer,private_individual,
job seeker,private_individual,
parent,private_individual,
# --- other orphans ---------------------------------------------------------
expert,professional,
national institute,academic,NIH institutes, not think tanks
supreme court nominee,judicial_legal,
criminal profiler,professional,
addiction specialist,professional,
storm chaser,professional,
bounty hunter,professional,
humorist,entertainment_sport,
moderator,media,
