# Gender for frequently cited people, resolved from Wikidata P21 and
# frozen so runs are reproducible offline. Regenerate with
# covered.wikidata.refresh(), then read the diff before committing:
# check qid/label actually name the person meant. A gender_qid that
# is neither Q6581097 nor Q6581072 is recorded, not coerced.
name_norm,qid,label,gender,gender_qid,occupation
abby phillip,Q56243574,Abby Phillip,female,Q6581072,Q1930187
adam schiff,Q350843,Adam Schiff,male,Q6581097,Q82955
albin kurti,Q441633,Albin Kurti,male,Q6581097,Q82955
aleksandar vucic,Q222031,Aleksandar Vučić,male,Q6581097,Q82955
alex thompson,Q108050244,Alex Thompson,male,Q6581097,Q19204627
alice stewart,Q4726108,Alice Stewart,female,Q6581072,Q12765408
amanda davies,Q130339873,Amanda Davies,female,Q6581072,Q37226
anders aslund,Q2460494,Anders Åslund,male,Q6581097,Q188094
andrew mccabe,Q27734885,Andrew G. McCabe,male,Q6581097,Q40348
andy cohen,Q2014922,Andy Cohen,male,Q6581097,Q947873
angus king,Q544464,Angus King,male,Q6581097,Q82955
antony blinken,Q7821917,Antony Blinken,male,Q6581097,Q193391
april martin,Q94585447,April Martin,unknown,,Q1650915
ashley etienne,Q102568415,Ashley Etienne,female,Q6581072,Q5280566
audie cornish,Q4819748,Audie Cornish,female,Q6581072,Q1930187
austan goolsbee,Q780691,Austan Goolsbee,male,Q6581097,Q188094
barack obama,Q76,Barack Obama,male,Q6581097,Q82955
barbara mcquade,Q4859074,Barbara L. McQuade,female,Q6581072,Q40348
benjamin netanyahu,Q43723,Benjamin Netanyahu,male,Q6581097,Q82955
boris johnson,Q180589,Boris Johnson,male,Q6581097,Q1930187
brendan boyle,Q4960876,Brendan F. Boyle,male,Q6581097,Q82955
brian butler,Q52829012,Brian Butler,male,Q6581097,Q3665646
brian lapointe,Q56951108,Brian E Lapointe,unknown,,Q1650915
brittney griner,Q2925780,Brittney Griner,female,Q6581072,Q3665646
bryan lanza,Q130483551,Bryan Lanza,male,Q6581097,Q11986654
chad myers,Q88414136,Chad L Myers,unknown,,Q1650915
chris deluzio,Q115181700,Chris Deluzio,male,Q6581097,Q82955
christian jouret,Q65586492,Christian Jouret,male,Q6581097,Q82955
christiane amanpour,Q236939,Christiane Amanpour,female,Q6581072,Q1930187
chuck rocha,Q87574568,Chuck Rocha,male,Q6581097,Q8125919
daniel goldman,Q102166118,Daniel Goldman,male,Q6581097,
darrion trammell,Q106818289,Darrion Trammell,male,Q6581097,Q3665646
david cameron,Q192,David Cameron,male,Q6581097,Q82955
david frum,Q1174481,David Frum,male,Q6581097,Q1930187
david urban,Q112548015,David Urban,male,Q6581097,Q36180
donald trump,Q22686,Donald Trump,male,Q6581097,Q911554
drew griffin,Q5307184,Drew Griffin,male,Q6581097,Q36180
elie honig,Q109459335,Elie Honig,male,Q6581097,
elliot williams,Q430263,Elliot Williams,male,Q6581097,Q3665646
erin perrine,Q133255850,Erin Perrine,female,Q6581072,Q8125919
eugene scott,Q104440024,Eugene Scott,male,Q6581097,Q1930187
fran drescher,Q230632,Fran Drescher,female,Q6581072,Q10798782
geoffroy van raemdonck,Q110299429,Geoffroy van Raemdonck,male,Q6581097,Q484876
glenn youngkin,Q100963892,Glenn Youngkin,male,Q6581097,Q2961975
gloria borger,Q5571332,Gloria Borger,female,Q6581072,Q1930187
inna sovsun,Q16717067,Inna Sovsun,female,Q6581072,Q82955
jake sullivan,Q124285822,Jake Sullivan,male,Q6581097,Q11774891
jake tapper,Q6125032,Jake Tapper,male,Q6581097,Q1930187
james clapper,Q1681008,James R. Clapper,male,Q6581097,Q189290
james cleverly,Q6131460,James Cleverly,male,Q6581097,Q82955
james marks,Q112025371,James Marks,male,Q6581097,
jeff zeleny,Q18157171,Jeff Zeleny,male,Q6581097,Q1930187
jeffrey clark,Q99213513,Jeffrey N Clark,unknown,,Q1650915
jeffrey goldberg,Q6176005,Jeffrey Goldberg,male,Q6581097,Q36180
jeffrey rosen,Q106996042,Jeffrey Rosen,male,Q6581097,Q43845
jemele hill,Q6177096,Jemele Hill,female,Q6581072,Q1930187
jennifer rodgers,Q100994151,Jennifer Rodgers,female,Q6581072,Q1076502
jill dougherty,Q6192812,Jill Dougherty,female,Q6581072,Q1930187
joan biskupic,Q6204859,Joan Biskupic,female,Q6581072,Q1930187
joe biden,Q6279,Joe Biden,male,Q6581097,Q82955
joe walsh,Q354033,Joe Walsh,male,Q6581097,Q855091
john dean,Q110664043,John Dean,male,Q6581097,Q175151
john kelly,Q16025235,John Kelly,male,Q6581097,Q47064
john king,Q671520,John King,male,Q6581097,Q36180
john kirby,Q6243189,John Kirby,male,Q6581097,Q40348
john miller,Q18044948,John Miller,male,Q6581097,Q1028181
john monaghan,Q112484160,John Monaghan,male,Q6581097,Q121594
jon tester,Q529351,Jon Tester,male,Q6581097,Q82955
jonathan alter,Q12052861,Jonathan Alter,male,Q6581097,Q1086863
joseph kenny,Q110245309,Joseph Kenny,male,Q6581097,
