year,mode,staff_flag,proximity,epistemic_source,n_turns
2000,clip,guest,commentary,standing_rule,17
2000,clip,guest,commentary,sector_default,87
2000,clip,guest,commentary,lexicon,45
2000,clip,guest,commentary,form,16
2000,clip,guest,direct,lexicon,687
2000,clip,guest,direct,sector_default,57
2000,clip,guest,direct,name_title,10
2000,clip,guest,expert,name_title,19
2000,clip,guest,expert,lexicon,38
2000,clip,guest,expert,sector_default,28
2000,clip,guest,institutional,lexicon,23
2000,clip,guest,institutional,sector_default,23
2000,clip,guest,institutional,name_title,2
2000,clip,guest,unresolved,sector_default,390
2000,clip,staff,commentary,sector_default,1196
2000,clip,staff,direct,sector_default,18
2000,clip,staff,direct,lexicon,1
2000,clip,staff,expert,lexicon,21
2000,clip,staff,unresolved,sector_default,302
2000,live,guest,commentary,form,276
2000,live,guest,commentary,standing_rule,9
2000,live,guest,commentary,sector_default,370
2000,live,guest,commentary,lexicon,369
2000,live,guest,direct,lexicon,1281
2000,live,guest,direct,sector_default,54
2000,live,guest,direct,name_title,2
2000,live,guest,expert,lexicon,97
2000,live,guest,expert,topic_needed,11
2000,live,guest,expert,sector_default,32
2000,live,guest,expert,name_title,2
2000,live,guest,institutional,lexicon,177
2000,live,guest,institutional,sector_default,40
2000,live,guest,institutional,name_title,1
2000,live,guest,unresolved,sector_default,1153
2000,live,staff,commentary,sector_default,1317
2000,live,staff,commentary,lexicon,196
2000,live,staff,direct,sector_default,146
2000,live,staff,direct,lexicon,3
2000,live,staff,expert,lexicon,212
2000,live,staff,expert,name_title,1
2000,live,staff,unresolved,sector_default,5728
2001,clip,guest,commentary,sector_default,42
2001,clip,guest,commentary,standing_rule,273
2001,clip,guest,commentary,form,50
2001,clip,guest,commentary,lexicon,80
2001,clip,guest,direct,lexicon,488
2001,clip,guest,direct,name_title,7
2001,clip,guest,direct,sector_default,38
2001,clip,guest,expert,sector_default,28
2001,clip,guest,expert,lexicon,42
2001,clip,guest,expert,name_title,19
2001,clip,guest,expert,topic_needed,2
2001,clip,guest,institutional,lexicon,30
