year,measure,variant,hhi,hhi_normalized,top10_share,top25_share,entropy_norm,n_distinct,n_events
2000,speakers,all,0.007009094776740908,0.006970172273400391,0.20036040665160149,0.34002522122853074,0.6788597443639331,25513.0,552709.0
2001,speakers,all,0.008458090153158522,0.00841830594139241,0.20917321436360126,0.3370822922443283,0.6854913511607498,24924.0,641956.0
2002,speakers,all,0.010755828742318514,0.010708548516191397,0.24485499914200676,0.39691654980206986,0.6685829763355724,20924.0,675996.0
2003,speakers,all,0.011784011790949466,0.011734059003798427,0.2760767831104575,0.41041606949239146,0.656682147750867,19784.0,641912.0
2004,speakers,all,0.011585588318956869,0.011539555606043259,0.27815981820889146,0.44357159967111864,0.6320672423517926,21473.0,772315.0
2005,speakers,all,0.010583044221170505,0.01054747159746378,0.2682441734249936,0.42715016281758256,0.6430539498343355,27815.0,906536.0
2006,speakers,all,0.011381523763577652,0.01134261403135802,0.2833623784406841,0.43675326717874724,0.6329335062645707,25409.0,947377.0
2007,speakers,all,0.010201770080484155,0.01016292247147597,0.2581285686525016,0.4319387421804906,0.6337330718962136,25480.0,967452.0
2008,speakers,all,0.010448242693926739,0.010403969428421568,0.2540557586393829,0.43381588300684065,0.6160050049254031,22352.0,948158.0
2009,speakers,all,0.009549986360566861,0.009510624996117493,0.24382083287093012,0.4261498264284365,0.629504770688064,25164.0,1027242.0
2010,speakers,all,0.010140851490667159,0.010100912047941639,0.26135506191539837,0.43336373410169476,0.6335519060204445,24785.0,1066859.0
2011,speakers,all,0.009973837261414046,0.00993457855086053,0.25654659939040614,0.4393230054004602,0.6336694760265605,25219.0,1071205.0
2012,speakers,all,0.009678360735385519,0.009639647563919797,0.25036754573703296,0.434702874489406,0.6360368658772709,25582.0,976069.0
2013,speakers,all,0.007393937612764846,0.007356425573825001,0.20650280998654047,0.37200784914586776,0.6496706733981215,26462.0,1041642.0
2014,speakers,all,0.00837672249066365,0.008329708301515663,0.22833506726300748,0.4003685464793222,0.6483613340726022,21093.0,916031.0
2015,speakers,all,0.008673256166011013,0.008623173982327374,0.24039072480808582,0.40274389209844996,0.6431124381727875,19795.0,884510.0
2016,speakers,all,0.008161366501508798,0.008110832103307418,0.2250394813677669,0.3754483903971341,0.6338175399994255,19628.0,1042897.0
2017,speakers,all,0.008710124010498603,0.008653957095886473,0.23218448729648866,0.40055074311147626,0.6359005236030375,17650.0,944542.0
2018,speakers,all,0.008692921546382341,0.008633894091430953,0.23277939216867913,0.4029162104829185,0.6386112361151256,16795.0,950823.0
2019,speakers,all,0.008785148963668495,0.008725527017741498,0.22796635414804825,0.4127607255631564,0.6372664712123762,16626.0,923145.0
2020,speakers,all,0.009146286707842876,0.009089933769590464,0.2414237550794214,0.4071298087592357,0.6369056881425534,17584.0,797581.0
2021,speakers,all,0.006770170934766175,0.006719298683738453,0.1930690759902716,0.3487097502209569,0.6617967801772794,19525.0,793141.0
2022,speakers,all,0.006617022081653991,0.006565455274245439,0.18556284194432862,0.3337439824115841,0.6652383983136615,19265.0,791430.0
2023,speakers,all,0.006726616002324994,0.006677196957397501,0.179190186477205,0.34222319827592446,0.6538398745216559,20100.0,828734.0
2024,speakers,all,0.006759269047063997,0.006706896743823663,0.181713394854138,0.3498753482579661,0.6528788308213092,18966.0,873634.0
2025,speakers,all,0.007977698011983142,0.007785371082555453,0.2019584278110958,0.38539822746890373,0.7114401199496548,5159.0,168911.0
2000,speakers,external,0.0009517555300385304,0.0009105712508535209,0.0632252823766053,0.10980291660219713,0.8493901436453626,24259.0,206816.0
2001,speakers,external,0.0016932392351981717,0.0016507870000916568,0.09028567779121612,0.13276413320719924,0.845860736563509,23517.0,250527.0
2002,speakers,external,0.0012251764666520982,0.001174124799123303,0.07435310424307551,0.12004267214863612,0.8468015790678661,19565.0,256842.0
2003,speakers,external,0.0016223371986843417,0.0015682714744992819,0.0932818099391218,0.13619878243599154,0.8432375313625041,18467.0,231610.0
2004,speakers,external,0.002744371456790442,0.0026951825632053968,0.11066412674373204,0.15952609139778584,0.8212489084850463,20275.0,253551.0
2005,speakers,external,0.0013939217979442571,0.0013564422123639368,0.06954286920833498,0.09879976773955158,0.8657473244577722,26645.0,303108.0
2006,speakers,external,0.0017358882201985097,0.001694824291289427,0.08154602474995762,0.11369384641464655,0.8614487366405126,24311.0,294950.0
2007,speakers,external,0.0007495307725622625,0.0007084042767303723,0.04652292742180383,0.07891149576542834,0.8684041789935313,24298.0,296370.0
2008,speakers,external,0.001185226021463973,0.001138152085467247,0.07550037709578233,0.12849490437237726,0.841223243614984,21219.0,258555.0
2009,speakers,external,0.00225544767793728,0.0022135696274725556,0.09038853270001596,0.12468592276907384,0.841184028310703,23826.0,319587.0
2010,speakers,external,0.0010684688645671908,0.0010262271726213421,0.0730523269383373,0.10686528497409327,0.8529743107948353,23649.0,342768.0
2011,speakers,external,0.0010479689669274177,0.0010063303511534578,0.07278819522743962,0.11297102580559362,0.8447028512343154,23992.0,345894.0
2012,speakers,external,0.0012856435566493225,0.0012447176722726742,0.06840598154629335,0.10338815768114436,0.8599393288525877,24404.0,308014.0
2013,speakers,external,0.0019724095695036197,0.00193283984503964,0.10573919889100913,0.15333909506573223,0.8340354145129001,25223.0,350589.0
2014,speakers,external,0.0010013174310058931,0.0009512272443548205,0.06063571610368475,0.10305383189764877,0.8596056765350021,19945.0,278961.0
2015,speakers,external,0.0012879545973182728,0.0012338267969062256,0.07892494836277798,0.1206004463450821,0.8628015406356344,18452.0,240621.0
2016,speakers,external,0.005014397074605316,0.004959682441505213,0.14143093679481894,0.19818076388355213,0.7992029284105147,18186.0,286274.0
2017,speakers,external,0.011220443617694545,0.011159774851196673,0.18737528612289103,0.2315998682942117,0.7879542855230042,16299.0,252077.0
2018,speakers,external,0.011616459506607571,0.011552432588132908,0.17732322588340785,0.22381447920994074,0.7908702889067052,15438.0,243121.0
2019,speakers,external,0.011978052490650277,0.01191400335623375,0.16386241268917345,0.20130602444703144,0.8102298064198294,15427.0,219904.0
2020,speakers,external,0.012990744521781988,0.012931510935064217,0.18263520379360956,0.2316224455233149,0.7986399231672691,16664.0,221425.0
2021,speakers,external,0.00321150252312487,0.003157437952019111,0.1357538230603246,0.19156295761491615,0.8288083538106703,18438.0,245157.0
2022,speakers,external,0.001760394112649811,0.001705200061677382,0.08630902172486832,0.12195167669497085,0.870563141603658,18087.0,213396.0
2023,speakers,external,0.001792006344775506,0.0017388536294584015,0.09479091310302154,0.13594856885467427,0.8596744066462617,18781.0,219789.0
2024,speakers,external,0.0035362522680350544,0.003479705692860161,0.12397990950977543,0.16950313395043792,0.8302906744785515,17623.0,240910.0
2025,speakers,external,0.014111939188884549,0.01389653869493412,0.18571988246816845,0.23710088148873654,0.8305134512833445,4578.0,51050.0
