year,variant,hhi,hhi_normalized,top10_share,top25_share,entropy_norm,n_distinct,n_events
2000,external-all,0.0009517555300385305,0.000910571250853521,0.0632252823766053,0.10980291660219713,0.8493901436453625,24259.0,206816.0
2001,external-all,0.0016932392351981717,0.0016507870000916568,0.09028567779121612,0.13276413320719924,0.845860736563509,23517.0,250527.0
2002,external-all,0.0012251764666520982,0.001174124799123303,0.07435310424307551,0.12004267214863612,0.8468015790678661,19565.0,256842.0
2003,external-all,0.0016223371986843415,0.0015682714744992817,0.0932818099391218,0.13619878243599154,0.8432375313625041,18467.0,231610.0
2004,external-all,0.0027443714567904416,0.0026951825632053963,0.11066412674373204,0.15952609139778584,0.8212489084850463,20275.0,253551.0
2005,external-all,0.001393921797944257,0.0013564422123639366,0.06954286920833498,0.09879976773955158,0.865747324457772,26645.0,303108.0
2006,external-all,0.0017358882201985095,0.0016948242912894268,0.08154602474995762,0.11369384641464655,0.8614487366405126,24311.0,294950.0
2007,external-all,0.0007495307725622626,0.0007084042767303724,0.04652292742180383,0.07891149576542834,0.8684041789935313,24298.0,296370.0
2008,external-all,0.0011852260214639727,0.0011381520854672467,0.07550037709578233,0.12849490437237726,0.841223243614984,21219.0,258555.0
2009,external-all,0.00225544767793728,0.0022135696274725556,0.09038853270001596,0.12468592276907384,0.8411840283107028,23826.0,319587.0
2010,external-all,0.0010684688645671908,0.0010262271726213421,0.0730523269383373,0.10686528497409327,0.8529743107948353,23649.0,342768.0
2011,external-all,0.0010479689669274177,0.0010063303511534578,0.07278819522743962,0.11297102580559362,0.8447028512343154,23992.0,345894.0
2012,external-all,0.0012856435566493227,0.0012447176722726744,0.06840598154629335,0.10338815768114436,0.8599393288525877,24404.0,308014.0
2013,external-all,0.00197240956950362,0.0019328398450396405,0.10573919889100913,0.15333909506573223,0.8340354145128999,25223.0,350589.0
2014,external-all,0.0010013174310058931,0.0009512272443548205,0.06063571610368475,0.10305383189764877,0.8596056765350021,19945.0,278961.0
2015,external-all,0.0012879545973182725,0.0012338267969062254,0.07892494836277798,0.1206004463450821,0.8628015406356344,18452.0,240621.0
2016,external-all,0.005014397074605317,0.0049596824415052134,0.14143093679481894,0.19818076388355213,0.7992029284105145,18186.0,286274.0
2017,external-all,0.011220443617694541,0.01115977485119667,0.18737528612289103,0.2315998682942117,0.7879542855230041,16299.0,252077.0
2018,external-all,0.011616459506607571,0.011552432588132908,0.17732322588340785,0.22381447920994074,0.7908702889067052,15438.0,243121.0
2019,external-all,0.011978052490650273,0.011914003356233747,0.16386241268917345,0.20130602444703144,0.8102298064198292,15427.0,219904.0
2020,external-all,0.012990744521781982,0.012931510935064212,0.18263520379360956,0.2316224455233149,0.798639923167269,16664.0,221425.0
2021,external-all,0.0032115025231248704,0.0031574379520191115,0.1357538230603246,0.19156295761491615,0.8288083538106701,18438.0,245157.0
2022,external-all,0.0017603941126498105,0.0017052000616773815,0.08630902172486832,0.12195167669497085,0.870563141603658,18087.0,213396.0
2023,external-all,0.0017920063447755057,0.0017388536294584013,0.09479091310302154,0.13594856885467427,0.8596744066462617,18781.0,219789.0
2024,external-all,0.003536252268035054,0.0034797056928601608,0.12397990950977543,0.16950313395043792,0.8302906744785515,17623.0,240910.0
2025,external-all,0.014111939188884553,0.013896538694934124,0.18571988246816845,0.23710088148873654,0.8305134512833445,4578.0,51050.0
2000,external-clip,0.0019105207336823202,0.0018566340325017609,0.08874984435313162,0.11899203088033869,0.8937128887331134,18523.0,64248.0
2001,external-clip,0.0047003297107584005,0.004639432765684413,0.12188516485878459,0.16276670440053306,0.8619199458271161,16345.0,69787.0
2002,external-clip,0.0038162966567036644,0.0037391628043348456,0.11767816791935769,0.16389685732143144,0.8624642916268485,12916.0,62399.0
2003,external-clip,0.006100028365947317,0.006013338442560134,0.14771340899848423,0.19436947761469925,0.844722641004829,11466.0,54098.0
2004,external-clip,0.0063825113128016765,0.006316930328794865,0.1384159881569208,0.1849995752994139,0.8444776768371701,15152.0,82411.0
2005,external-clip,0.0018365778001562631,0.0017870017883255367,0.06794072526683421,0.09382446061951236,0.8890036264460894,20135.0,122548.0
2006,external-clip,0.003079508484972742,0.003026506172701222,0.09241923573245414,0.12317343338579623,0.8740419244867959,18810.0,134063.0
2007,external-clip,0.0013995204572613627,0.0013458004895631143,0.06291670794059602,0.09901933143854248,0.8798726057099228,18590.0,131237.0
2008,external-clip,0.002520372074812128,0.002458673576146625,0.13303914433379088,0.17772025021419294,0.851752839684683,16168.0,108547.0
2009,external-clip,0.006481200348971926,0.006426862195414115,0.1344851288072974,0.17884810906018644,0.8362160457393083,18285.0,139666.0
2010,external-clip,0.0017765671246283005,0.001718388815217217,0.08181074447777474,0.1190725085598279,0.8697862331975106,17159.0,132012.0
2011,external-clip,0.0019148508494573606,0.0018574797424187595,0.09552392787638632,0.13416492766536145,0.8613936528117311,17398.0,127947.0
2012,external-clip,0.0039443782799518275,0.0038860236240422807,0.11092926745768655,0.14711801003665634,0.8600881278548063,17070.0,119761.0
2013,external-clip,0.004964302916229141,0.004909869891224558,0.14834030185600652,0.19893432592290433,0.8217396842762142,18281.0,156896.0
2014,external-clip,0.0029039823016198947,0.0028258828250241103,0.10119371935212244,0.14755559958393186,0.8522528033436401,12768.0,100945.0
2015,external-clip,0.004668771813376167,0.004581972194627879,0.14106289710880165,0.18333497512682856,0.845914721411032,11468.0,81212.0
2016,external-clip,0.021218429338060587,0.02113478709137951,0.2886989031530912,0.3535842244641761,0.7392660265012329,11703.0,109131.0
2017,external-clip,0.042856611730244736,0.04276311330411699,0.3273850377487989,0.3897658811866087,0.7083883683900203,10238.0,104904.0
2018,external-clip,0.04390502128056013,0.043810601472272614,0.3081414489610163,0.3775103123729109,0.7078842122528786,10127.0,103274.0
2019,external-clip,0.039636255547890284,0.03954664429992424,0.28880195033581624,0.34090405388477213,0.7328138978293498,10718.0,103777.0
2020,external-clip,0.034750524147322874,0.03466390030492382,0.2919938227961151,0.3449559036951587,0.7376280874510764,11144.0,107492.0
2021,external-clip,0.006349324243149171,0.0062736809213041,0.16921822550286672,0.2133074274215233,0.8230530830205732,13137.0,115289.0
2022,external-clip,0.004019473270836405,0.003943147075209984,0.13308273427353712,0.1786204247379685,0.8488445784930235,13050.0,109338.0
2023,external-clip,0.003980586827879702,0.0039075113023351584,0.13646040179609653,0.18250773716882235,0.8444695561857088,13631.0,111798.0
2024,external-clip,0.009953031702258421,0.00987439413527687,0.2090957072484166,0.25116995073891624,0.8033654507649057,12591.0,113680.0
2025,external-clip,0.031529085187824595,0.031189628154942653,0.28572587514704095,0.34827404372692977,0.7719412256872938,2854.0,24653.0
2000,external-live,0.0011835436602601797,0.0010738077279002873,0.06399753100274956,0.12154901520677852,0.865064026884823,9103.0,142568.0
2001,external-live,0.0015163664694524447,0.0014210822215728236,0.08512780790085206,0.134729445612482,0.8713882076168116,10480.0,180740.0
2002,external-live,0.001216069017448091,0.0011105227920457288,0.0708588120940327,0.12455063951903643,0.871122087277768,9464.0,194443.0
2003,external-live,0.001620736565882746,0.0015169549376671412,0.08692370093289467,0.13923002388570913,0.8668087734819595,9621.0,177512.0
2004,external-live,0.003202226689322258,0.0030787383625989332,0.11616804955007597,0.1764052822250789,0.8433900055354958,8073.0,171140.0
2005,external-live,0.0022611710743261396,0.002169894994468334,0.0815352237483385,0.12262405848471422,0.8737790394701651,10932.0,180560.0
2006,external-live,0.002211453597953943,0.0021066438766932237,0.08403413575988115,0.12786614207487243,0.8752762561260784,9521.0,160887.0
2007,external-live,0.0008583420820131259,0.0007613474545091955,0.04800373032646412,0.09595295912991346,0.878704168908131,10302.0,165133.0
2008,external-live,0.0014149479126423553,0.0012970233670486664,0.07232947576129273,0.1344994933603541,0.8529685238196658,8469.0,150008.0
2009,external-live,0.0012817967067483543,0.0011796991598976845,0.07535529482383935,0.12080857709772623,0.8647073612845145,9783.0,179921.0
2010,external-live,0.0014552881892192426,0.001362279181040146,0.08383153979008902,0.12918256182504886,0.8606900160453163,10737.0,210756.0
2011,external-live,0.0013577344860413111,0.0012664926161907895,0.0780694389002831,0.12357591524544959,0.8558540915579075,10946.0,217947.0
2012,external-live,0.0010260338043476187,0.0009390681939884602,0.0636377640728169,0.10981498302815891,0.8745428022898568,11488.0,188253.0
2013,external-live,0.0014482724765139707,0.0013609712238890812,0.0863273324281208,0.14664443216843148,0.8578873261501788,11439.0,193693.0
2014,external-live,0.0010227098971913855,0.0009276597268676168,0.06307298220384684,0.11450094373539457,0.8744566817608717,10511.0,178016.0
2015,external-live,0.0010660304033482779,0.0009685258675164915,0.06960711126724338,0.11906479558870578,0.8799677540409604,10246.0,159409.0
2016,external-live,0.0016864110254285708,0.001581733077544061,0.08328299735242149,0.15202971610506766,0.8409461269209176,9538.0,177143.0
2017,external-live,0.00227229134666658,0.0021585253593628933,0.10204317367995488,0.15373064352836457,0.8519670068656338,8771.0,147173.0
2018,external-live,0.001980737930911532,0.0018553113553090325,0.0945604839574678,0.14412179024219327,0.8588631887421699,7958.0,139847.0
2019,external-live,0.0014527229889183578,0.001315804398899013,0.06839064128066685,0.11180862331757473,0.8866124413890455,7294.0,116127.0
2020,external-live,0.002650567649508751,0.002534190819596208,0.09947074157618951,0.15018475770847778,0.8704604615718499,8571.0,113933.0
2021,external-live,0.0026802965133047437,0.002569124993575985,0.1251193519573721,0.19141743924600363,0.8508052366459131,8972.0,129868.0
2022,external-live,0.0008410040031960038,0.0007213585719905429,0.05544984527859463,0.09121835899210055,0.9052406526658466,8352.0,104058.0
2023,external-live,0.0012139455428502842,0.0010939279924468777,0.07144113861340297,0.12139900547267828,0.884986434982099,8323.0,107991.0
2024,external-live,0.0014582491131151175,0.0013315788415323591,0.07509235243260237,0.13541617543032303,0.8616380766969804,7884.0,127230.0
2025,external-live,0.005098362222639472,0.0046862240131210955,0.12418077811872562,0.18236920862219191,0.8887893274627943,2415.0,26397.0
