year,mode,n_guest_turns,office_coverage,executive_share,academic_share,business_share,cabinet_secretary_share,candidate_share,diplomat_share,entertainment_share,governor_share,journalist_share,judiciary_share,mayor_share,military_share,president_share,press_secretary_share,religious_share,representative_share,senator_share,spokesperson_share,vice_president_share
2000,all,206816,0.10203755995667652,0.026941822682964568,0.007107767290731858,0.010482747949868481,0.004409716849760173,0.0009622079529630203,0.00436136469131982,0.02907898808602816,0.00040132291505492806,0.010202305430914436,0.0022918923100727216,0.0004931920160915984,0.0027705786786322143,0.015999729227912735,0.0012233096085409252,0.0002562664397338697,0.000904185362834597,0.0006334132755686214,0.005149504873897571,0.005309066996750735
2001,all,250527,0.0858230849369529,0.029976808886866487,0.005520363074638662,0.00735649251378095,0.007392416785416342,7.584012900805103e-05,0.005711959190027423,0.01757495200118151,0.0004031501594638502,0.007264686041823835,0.002347052413512316,0.0011296187636462337,0.00402351842316397,0.018948057494800958,0.002047683483217378,0.00033529320193033087,0.0006785695753351934,0.00040714174520111606,0.003017638817372978,0.0015886511234318057
2002,all,256842,0.06801847049937315,0.023368452200185328,0.00352746046207396,0.0040413950989324175,0.0056610678938802846,0.0002452869857733548,0.005400207131232431,0.01349467766175314,0.00039713131029971735,0.005859633549030143,0.002834427391158767,0.0009655741662189205,0.003235452145677109,0.013922956525801855,0.0016352465718223654,0.000619057630761324,0.000681352738259319,0.00033483620280172244,0.0030135258252155022,0.002149181208680823
2003,all,231610,0.07559690859634727,0.02420016406890894,0.003743361685592159,0.0033461422218384355,0.006679331635076205,0.00028496178921462803,0.007754414748931393,0.013760200336773023,0.0006433228271663572,0.006778636501014637,0.0026682785717369716,0.0007339924873710116,0.007240620007771685,0.014800742627693105,0.0017054531324208798,0.0003799490522861707,0.00045334830102327186,0.0002892793920815163,0.0033202366046371054,0.0010146366737187513
2004,all,253551,0.09036840714491368,0.03213160271503564,0.005312540672290781,0.005908081608828204,0.005829202014584837,0.00027607857985178526,0.004543464628417951,0.016517387034561095,0.0005127173625818869,0.008455892502888964,0.0022796202736333126,0.0009820509483299217,0.00805755055195996,0.022117838225840167,0.0010845944208462991,0.00039439797121683607,0.0005087733828697185,0.0010412106440124472,0.0034470382684351473,0.0030999680537643313
2005,all,303108,0.07704844477875872,0.02132243292819721,0.004048062076883487,0.004051361230980377,0.004127241775208837,0.0002507357113636064,0.003586180503318949,0.019488103250326617,0.0003233171014951766,0.008488723491296831,0.003602676273803397,0.0013097641764651543,0.006209008010346147,0.014829697665518561,0.001141507317523787,0.0008907716061601805,0.0003035221769138393,0.0003398128719796244,0.00283397336922813,0.0012239861699460258
2006,all,294950,0.09969486353619261,0.02949652483471775,0.005404305814544838,0.0054314290557721644,0.005953551449398203,0.0008306492625868791,0.006774029496524835,0.022159688082725885,0.00040684861840989997,0.011208679437192745,0.003570096626546872,0.0010713680284794034,0.007601288353958298,0.01940667909815223,0.0024885573826072217,0.0005967113070011866,0.000793354805899305,0.0006001017121546025,0.0037497880996779113,0.001647736904560095
2007,all,296370,0.09276242534669499,0.028757971454600666,0.006178088200560111,0.006235448932078146,0.004062489455747883,0.00012484394506866417,0.00405574113439282,0.019026892060599924,0.0004825049768869994,0.010773695043357965,0.0033134257853358975,0.0008772817761581806,0.007686338023416675,0.020541890204811553,0.0024158990451125283,0.000610723082633195,0.00047575665553193644,0.0007963019198974255,0.003367412356176401,0.001737692748928704
2008,all,258555,0.09752277078377913,0.03207054591866334,0.006439635667459535,0.008141401249250642,0.0033996635145326914,0.00024752953916961577,0.0018912803852178454,0.020811819535495348,0.0008238092475488774,0.014743478176790238,0.002297383535417996,0.0008624857380441299,0.003941134381466226,0.024509292026841486,0.0020962657848426834,0.0008972945794898571,0.00042544139544777704,0.0013768830616309876,0.0025526483726866626,0.0020653245924464815
2009,all,319587,0.09783877316661815,0.03387184084459005,0.005563430302233821,0.008545403911923826,0.005125364924105173,0.00014393576709941267,0.0021903268906432365,0.020792460269034724,0.0008761307562572946,0.012228282126619668,0.00316032879935667,0.0008917759483333177,0.005804366260204577,0.022613560626683814,0.003463845525631518,0.0005444526842456045,0.0005100332616783536,0.0005600978763216276,0.0021559074680759854,0.0026690697681695436
2010,all,342768,0.07983825794706623,0.02083625075853055,0.004548265882462774,0.008443028520748729,0.0025906735751295338,0.0007935396536432806,0.002418545488493675,0.021597698735004434,0.0009160715119264343,0.010281006394996033,0.0022901787798160853,0.0005688979134574989,0.004364468095038043,0.015579050553143818,0.0013303458899313822,0.0005193016851047939,0.0004697054567520889,0.0005047145591187042,0.0012865845119731131,0.001336180740325818
2011,all,345894,0.08324804708957079,0.023813653893967515,0.004102412877933702,0.007982214204351622,0.0032004024354281946,0.00010118706887081013,0.003839326498869596,0.02146611389616472,0.0008181697282982648,0.009844056271574529,0.003798851671321272,0.0006273598269990228,0.0037583768437729477,0.018005516140783013,0.0014570937917396658,0.00048569793057988864,0.0007805859598605353,0.0002226115515157823,0.0016074288654905839,0.001150641526016641
2012,all,308014,0.10246612166979419,0.03525164440577376,0.004275779672352555,0.00990214730499263,0.003649184777315317,0.00030193432766043103,0.003788788821287344,0.025398196185887654,0.001162284831208971,0.010986513600031167,0.003136221080859961,0.0010941061120598415,0.003350497055328654,0.02691111442986358,0.0016720019219905588,0.0006817871914912958,0.0005778958099307175,0.0005227035134766602,0.0020356217574525833,0.00301934327660431
2013,all,350589,0.08561592063641477,0.025762359914315622,0.0040988165629840066,0.007638573942707843,0.004284218843146818,0.00017399290907586947,0.0032830465302676353,0.021093074796984503,0.0006760052369013289,0.008462901003739422,0.006012738562818571,0.0016686205214653056,0.002786738887985647,0.017085533202696034,0.0025471420951598597,0.0006474818091839733,0.0006246630670100887,0.00033942878983653224,0.00234747810113837,0.0018454657733129106
2014,all,278961,0.09849405472449557,0.029566857015855263,0.004853725072680411,0.00773943311072157,0.005850280146687171,0.00025093113374270953,0.007703585805901183,0.023078494843365202,0.0007778865146023996,0.010359871093091865,0.0030255125268406693,0.00138729069654898,0.00546671398510903,0.018586827549370702,0.00310796132792756,0.000491108076039303,0.0003907356225422192,0.0004086592749524127,0.0029932499525023213,0.002021787991869831
2015,all,240621,0.10741788954413789,0.040773664808973445,0.004380332556177557,0.008012600728947182,0.005211515204408592,0.00017870426936967263,0.007148170774786905,0.019462141708329696,0.001616650250809364,0.010011594997942823,0.0036779832184223324,0.0018327577393494334,0.004185004633843264,0.03035479031339742,0.0029299188350144,0.0010888492691826564,0.0009184568262952942,0.0007148170774786905,0.003416160684229556,0.002277440456153037
2016,all,286274,0.12760152860546192,0.05851736448297785,0.005414393203713924,0.009040290071749443,0.0035385679453949714,0.00038075410271278567,0.0057916541495210885,0.018485786344551024,0.002071442045033779,0.012917694236989737,0.0018339073754514905,0.0030739780769472604,0.002525552442764624,0.048457072594786814,0.0023648672251060173,0.0005414393203713924,0.0014601395865499486,0.0015544548230017395,0.003992678343125816,0.004156856717690045
2017,all,252077,0.16168869036048505,0.07834510883579224,0.006101310313912019,0.008386326400266585,0.011099783002812632,0.0008291117396668478,0.010234967886796495,0.025412869877061373,0.0013487942176398481,0.014697889930457756,0.002856270107943208,0.002193774124573047,0.0029752813624408414,0.050167210812569175,0.012662797478548222,0.00046414389254077125,0.002701555477096284,0.0027491599788953373,0.0023921262154024364,0.004415317541862209
2018,all,243121,0.15626786661785697,0.07449788376981009,0.005630940971779484,0.008847446333307283,0.009332801362284624,0.000818522464122803,0.00910246338243097,0.024197827419268594,0.0014108201266036253,0.016292298896434285,0.005375923922655797,0.0014642914433553663,0.002204663521456394,0.05277618963396827,0.008954388966810766,0.0006992402959843041,0.0016987426014206917,0.0020894945315295677,0.0019373069376976896,0.003434503806746435
2019,all,219904,0.16677277357392317,0.07719277502910361,0.007284997089639115,0.01171420256111758,0.012041618160651921,0.00047748108265424915,0.01319212019790454,0.025629365541327123,0.0013005675203725262,0.015866014260768335,0.0033923894062863795,0.0020599898137369033,0.0031104481955762514,0.05632457799767171,0.003192302095459837,0.0005866196158323632,0.0020508949359720604,0.000995889115250291,0.0019190192083818395,0.005634276775320139
2020,all,221425,0.18801400022581005,0.07473410861465507,0.022219713221180985,0.014198938692559558,0.009149824997177375,0.00040645816868014,0.007171728576267359,0.04168454329908547,0.0024658462233261825,0.009465959128373039,0.0031387603025855256,0.002258100937111889,0.006367844642655527,0.055653155696059615,0.0034865078469007564,0.0008490459523540703,0.000934853787964322,0.0007813029242407136,0.0013367957547702383,0.0064446200745173305
2021,all,245157,0.1633320688375205,0.05835444225537105,0.014533543810700898,0.01513723858588578,0.0069424899146261375,0.0006118528126873799,0.010915454178342858,0.03357440334153216,0.0015214739942159515,0.009410296259131904,0.005310882414126457,0.0019089807755846254,0.005983920508082575,0.042066920381633,0.005457727089171429,0.0005792206626773864,0.0016397655380021782,0.0007301443564736067,0.0031204493447056377,0.003887304869940487
2022,all,213396,0.18969896342949255,0.07628540366267408,0.010314157716170875,0.01369753884796341,0.011312302011284185,0.0016823183189937955,0.01997225814916868,0.028599411422894523,0.0018510187632382988,0.012296387936043787,0.006021668634838516,0.0031865639468406154,0.006340325029522578,0.05509475341618399,0.005332808487506795,0.0008435022212225159,0.002179047404824833,0.0014292676526270409,0.0050000937224690244,0.004545539747699113
2023,all,219789,0.17809808498150503,0.06776044297030334,0.00920883210715732,0.012971531787305098,0.009572817565938242,0.0003867345499547293,0.01576057036521391,0.025137745747057405,0.002147514206807438,0.013758650341918841,0.008467211734891192,0.00245235202853646,0.006060357888702347,0.05106261004872855,0.0031393745819854497,0.0007188712810923204,0.0036671534972177863,0.0009736611022389656,0.008626455373107845,0.003985640773651092
2024,all,240910,0.17540575318583707,0.07276161222033124,0.00900751317919555,0.011033165912581463,0.007197708687891744,0.0005562243161346561,0.013648250383960815,0.02609273172554066,0.0015067867668423893,0.014827113859947698,0.009244116059939396,0.0019758416005977338,0.0045162093727948195,0.052716782200821884,0.0023660288074384625,0.0004566020505582998,0.0028807438462496366,0.0011830144037192313,0.005715827487443444,0.010481092524179154
2025,all,51050,0.16995102840352594,0.07808031341821743,0.007561214495592557,0.01396669931439765,0.009618021547502449,0.0006660137120470127,0.014691478942213516,0.02703232125367287,0.000959843290891283,0.012791380999020567,0.0033300685602350635,0.001802154750244858,0.00356513222331048,0.059353574926542606,0.004329089128305583,0.0008227228207639569,0.0012340842311459354,0.0006856023506366307,0.0027619980411361413,0.0047796278158667976
2000,clip,64248,0.2127381397086291,0.06806437554476404,0.015331216535923297,0.024280911468061262,0.010755198605404059,0.0028016436309301457,0.012280537915577138,0.047441165483750464,0.0008716224629560453,0.01386813597310422,0.004529323870003736,0.0011050927655335576,0.006194745361723322,0.0404214917195866,0.0025681733283526337,0.0006692815340555348,0.0022568795915826174,0.0015253393101730794,0.011517868260490598,0.014319511891420745
2001,clip,69787,0.20115494289767433,0.08328198661641853,0.011964979150844714,0.01769670569017152,0.01943055296831788,0.00022926906157307234,0.015418344390789115,0.033788527949331536,0.0010030521443821915,0.011262842649777179,0.004313124220843423,0.002722570106180234,0.008583260492641897,0.053906888102368634,0.005430810896012151,0.0008454296645507043,0.0011176866751687277,0.0008597589808990213,0.008067405104102483,0.004513734649719862
2002,clip,62399,0.1842337216942579,0.0775332938027853,0.008189233801823747,0.010817481049375792,0.01878235228128656,0.0007852689946954278,0.016410519399349347,0.03032099873395407,0.0010897610538630426,0.009311046651388644,0.006121892979054151,0.0025320918604464816,0.008621933043798779,0.04620266350422282,0.005064183720892963,0.0017628487636019807,0.0010577092581611884,0.0008012948925463549,0.008878347409413612,0.007484094296382955
2003,clip,54098,0.20623682945765098,0.08499389995933307,0.007708233206403194,0.008595511848866871,0.0225331805242338,0.0010166734444896298,0.024936226847572924,0.029132315427557395,0.0019409220303892936,0.008558541905430884,0.005434581685090022,0.0018300122000813339,0.019871344596842765,0.05270065436799882,0.006210950497245739,0.001090613331361603,0.0007763688121557174,0.0004990942363858183,0.009852489925690414,0.003549114569854708
2004,clip,82411,0.20201186734780552,0.08524347477885234,0.00979238208491585,0.012304182694057832,0.01479171469828057,0.0007280581475773865,0.011758139083374792,0.03213163291308199,0.0010314157090679642,0.010374828602977757,0.0037494994600235404,0.0020749657205955518,0.020506971156763053,0.059336739027557,0.0025846064238997223,0.0009222069869313563,0.001007147104148718,0.00214777153535329,0.00823919137008409,0.008530414629115045
2005,clip,122548,0.1377827463524497,0.0440970068870973,0.006332212684009531,0.0072951006952377846,0.008372229656950746,0.0004896040735058915,0.007352221170480139,0.034941410712537126,0.0005467245487482456,0.00931879753239547,0.0054182850801318665,0.002162417991317688,0.011913699121976694,0.030518653915200575,0.00261938179325652,0.0015177726278682638,0.00047328393772236185,0.0006201651597741294,0.005304044129647158,0.0025867415216894603
2006,clip,134063,0.16478819659413857,0.05458627660129939,0.008719780998485787,0.008764536076322327,0.010845647195721415,0.001573886903918307,0.01191230988415894,0.036221776329039335,0.0007384587843029024,0.012292728045769526,0.005020027897331852,0.0017529072152644653,0.013650298740144558,0.0358264398081499,0.004758956609952038,0.001021907610600986,0.0011561728441106048,0.0009547749938461768,0.006422353669543424,0.0031552329874760376
2007,clip,131237,0.153028490440958,0.05425299267736995,0.009981941068448684,0.010431509406645991,0.007886495424308693,0.00019811486090050824,0.007589323132957931,0.02995344300768838,0.0007010218154941061,0.011056333198716826,0.004640459626477289,0.0013791842239612305,0.013951858088801176,0.03836570479361765,0.004800475475666161,0.0008991366763946143,0.0007467406295480696,0.0012115485724300311,0.006034883455123174,0.003200316983777441
2008,clip,108547,0.15654048476696736,0.05937520152560642,0.01060370162233871,0.012971339604042488,0.006633071388430818,0.00036850396602393435,0.0037403152551429334,0.032575750596515796,0.0013818898725897538,0.013957087713156513,0.0028466931375348927,0.0014003150708909505,0.007793858881406211,0.04563000359291367,0.00303094512054686,0.0017411812394630896,0.0007001575354454753,0.0027914175426313028,0.004293071204178835,0.004081181423715073
2009,clip,139666,0.15685993727893688,0.06468288631449315,0.007947531969126344,0.014069279566966906,0.01018143284693483,0.00027923760972606076,0.0039666060458522475,0.031510890266779314,0.0017112253519109876,0.011011985737402087,0.0035584895393295434,0.0012959489066773587,0.010653988801855856,0.042737674165509144,0.006472584594675869,0.0009379519711311271,0.0006157547291395186,0.0009451119098420517,0.0036730485587043375,0.005291194707373305
2010,clip,132012,0.13165469805775232,0.041821955579795775,0.0064236584552919435,0.01543799048571342,0.005461624700784777,0.0017498409235524044,0.004711692876405175,0.03462564009332485,0.0019013423022149502,0.007559918795261037,0.002469472472199497,0.0010074841681059297,0.008991606823622095,0.03088355604035997,0.0027497500227252067,0.0009999090991728026,0.0006287307214495652,0.000909008271975275,0.002416446989667606,0.002727024815925825
2011,clip,127947,0.14922585132906596,0.05132593964688504,0.005791460526624306,0.014591979491508202,0.0069950839019281424,0.000211024877488335,0.008339390528890869,0.03806263530993302,0.0018054350629557552,0.008245601694451609,0.005556988440526155,0.0011801761666940217,0.008026761080760001,0.038844208930260186,0.002985611229649777,0.0010707558598482185,0.00131304368214964,0.0003595238653504967,0.0033451350950002737,0.0025010355850469336
2012,clip,119761,0.17724467898564644,0.07536677215454113,0.005252127153246884,0.0165412780454405,0.007790516111254916,0.0006178973121466921,0.008082764839972946,0.04254306493766752,0.0022461402292900026,0.007673616619767704,0.003815933400689707,0.0018703918637953925,0.006713370796837034,0.0575980494484849,0.003147936306477067,0.0012441445879710423,0.0008683962224764323,0.0008850961498317483,0.003523684671971677,0.006830270288324246
2013,clip,156896,0.12998419335100964,0.0473753314297369,0.00492683051193147,0.011944217825820926,0.008107281256373649,0.00033142973689577807,0.005761778502957373,0.03117988986334897,0.0011663777279216805,0.006322659596165613,0.007336069753212319,0.002912757495410973,0.004346828472363859,0.031077911482765654,0.004722873750764838,0.000917805425249847,0.0009433000203956761,0.000516265551703039,0.004002651437895167,0.0034672649398327553
