year,mode,n_guest_turns,R_share,D_share,I_share,party_coverage
2000,all,206816,0.0019389215534581464,0.002316068389292898,0.00036264118830264586,0.004617631131053734
2001,all,250527,0.0004390744310992428,0.0008901236194102831,0.00028739417308314076,0.0016165922235926722
2002,all,256842,0.0005879100770123266,0.0011602463771501546,0.00011290988234011571,0.0018610663365026259
2003,all,231610,0.000682181252968352,0.0014507145632744701,0.00015975130607486724,0.0022926471223176925
2004,all,253551,0.0015697039254430076,0.0030250324392331325,0.00023663878273010163,0.0048313751474062805
2005,all,303108,0.0007423096718001505,0.001088720851973554,0.00022764163268537948,0.0020586721564590515
2006,all,294950,0.0018036955416172232,0.001996948635361926,0.00023732836073910832,0.004037972537718204
2007,all,296370,0.0033100516246583663,0.0031109761446840097,0.0004791308162094679,0.006900158585551819
2008,all,258555,0.005422443967434395,0.007004312428690221,0.0006342944441221403,0.01306105084024678
2009,all,319587,0.0030226511090876663,0.00240935957970756,0.000431807301298238,0.005863817990093501
2010,all,342768,0.0017037763151752788,0.001951757456938804,0.00021880688979134574,0.0038743406619053955
2011,all,345894,0.002246352928931985,0.0017057248752507994,0.0001532261328615125,0.004105303937044336
2012,all,308014,0.005548449096469641,0.003136221080859961,0.00020778276312115684,0.008892452940450712
2013,all,350589,0.001186574593041995,0.0009384207719010009,0.00012835542472810043,0.002253350789671149
2014,all,278961,0.0010969275275038446,0.0007384544792999739,0.00012546556687135477,0.0019608475736752062
2015,all,240621,0.004263966985425212,0.0019532792233429336,0.00026597844743393137,0.006483224656202102
2016,all,286274,0.009096180582239393,0.005725284168314272,0.0006636998120681585,0.015485164562621834
2017,all,252077,0.0034156230040820862,0.0033323151259337424,0.00033719855440996204,0.007085136684425786
2018,all,243121,0.0036812944994467777,0.002833979787842268,0.0005881844842691499,0.007103458771558158
2019,all,219904,0.003005857101280559,0.007607865250291036,0.0008958454598370197,0.01150956781140866
2020,all,221425,0.0021903579089985322,0.004367167212374393,0.0005735576380264198,0.007131082759399332
2021,all,245157,0.0022108281631770662,0.00198648213185836,0.0005425094939161435,0.004739819788951549
2022,all,213396,0.0035427093291345666,0.0028023018238392474,0.0007497797521977919,0.007094790905171622
2023,all,219789,0.00930437829008731,0.002802688032613097,0.0003912843681894908,0.012498350690889892
2024,all,240910,0.010850525092358142,0.00813996928313478,0.00039433813457307707,0.019384832510065952
2025,all,51050,0.0031537708129285016,0.004407443682664055,0.00033300685602350637,0.007894221351616104
2000,clip,64248,0.0035643132860166855,0.0044826298094882335,0.0008404930892790437,0.008887436184783937
2001,clip,69787,0.0006304899193259489,0.001934457707022798,0.0005015260721910957,0.003066473698539851
2002,clip,62399,0.0007371913011426465,0.0017628487636019807,0.000160258978509271,0.002660299043253933
2003,clip,54098,0.0010536433879256165,0.0020888018041332395,0.00014787977374394618,0.0032903249658028377
2004,clip,82411,0.0023904575845457524,0.005242018662557183,0.0005824465180619093,0.00821492276516489
2005,clip,122548,0.0009628880112282534,0.001215850115872964,0.0003998433266964781,0.002578581453797746
2006,clip,134063,0.0028941617000962233,0.0024913659995673674,0.0004251732394471256,0.005810700939110736
2007,clip,131237,0.00447282397494609,0.004449964567919108,0.000792459443602033,0.00971524798646728
2008,clip,108547,0.004597086976148581,0.006596220991828425,0.000948897712511631,0.012142205680488627
2009,clip,139666,0.0027279366488622858,0.0018257843712857819,0.0007016739936706142,0.0052553950138186645
2010,clip,132012,0.00153773899342484,0.0014165378904948036,0.00040147865345574647,0.0033557555373754377
2011,clip,127947,0.00243850969542076,0.0010238614426285883,0.00028918223952105167,0.0037515533775703824
2012,clip,119761,0.0071392189443975915,0.0018369920090847605,0.00044254807491587414,0.009418759028398171
2013,clip,156896,0.0012109932694268815,0.0007011013665102998,0.0001338466245156027,0.002045941260452766
2014,clip,100945,0.001327455545098816,0.000643915003219575,0.00016840853930358117,0.0021397790876219736
2015,clip,81212,0.005651874107274787,0.0018100773284736246,0.0003570900852090824,0.00781904152095747
2016,clip,109131,0.013259293876167175,0.006176063629949327,0.0010262895052734788,0.020461647011389972
2017,clip,104904,0.0032315259665980324,0.0029741477922672157,0.0002478456493556013,0.006453519408220809
2018,clip,103274,0.0032341150725255148,0.0028274299436450608,0.0007165404651703236,0.006778085481340845
2019,clip,103777,0.0038640546556558777,0.010079304662882912,0.0012334139549225744,0.015176773273461341
2020,clip,107492,0.0033304804078443046,0.006056264652253191,0.0007628474677185278,0.010149592527815998
2021,clip,115289,0.0034608679058713322,0.0029577843506318905,0.0007979946048625628,0.007216646861365805
2022,clip,109338,0.005140024511148914,0.00352119116866963,0.0007956977446084619,0.009456913424427005
2023,clip,111798,0.013631728653464284,0.00334531923648008,0.0004382904882019356,0.01741533837814635
2024,clip,113680,0.014514426460239269,0.00979064039408867,0.0005893736805066854,0.024894440534834583
2025,clip,24653,0.002393217863951649,0.004705309698616801,0.00040563014643248287,0.007504157709000925
2000,live,142568,0.00120644183828068,0.0013397115762302902,0.00014729813141799001,0.0026934515459289265
2001,live,180740,0.00036516543100586476,0.00048688724134115304,0.00020471395374571208,0.0010567666260927755
2002,live,194443,0.0005400040114583708,0.0009668643252778449,9.7715011597229e-05,0.001604583348333466
2003,live,177512,0.0005689756185497318,0.0012562530983820813,0.00016336923700932895,0.001988597953941129
2004,live,171140,0.0011744770363445133,0.0019574617272408554,7.011803202056795e-05,0.003202056795605923
2005,live,180560,0.0005926007975188303,0.0010024368630926009,0.00011076650420912716,0.001705804164820579
2006,live,160887,0.0008950381323537638,0.0015849633593764568,8.080205361527035e-05,0.0025608035453454914
2007,live,165133,0.0023859555630915685,0.002046834975444036,0.00023011754161796855,0.004662908080153572
2008,live,150008,0.006019678950455976,0.007299610687430003,0.00040664497893445683,0.013725934616820479
2009,live,179921,0.00325142701519,0.002862367372346752,0.00022231979591042736,0.00633611418344715
2010,live,210756,0.0018077777145134657,0.002287004877678453,0.00010438611474880905,0.0041991687069407035
2011,live,217947,0.0021335462291291003,0.002106016600366144,7.341234336788302e-05,0.004312975172863109
2012,live,188253,0.00453644829033269,0.0039627522536161445,5.843200373964824e-05,0.008557632547688487
2013,live,193693,0.0011667948764281621,0.0011306552121140155,0.00012390742050564553,0.0024213575090478168
2014,live,178016,0.0009662052849182096,0.0007920636347294625,0.00010111450656120799,0.0018593834262088382
2015,live,159409,0.0035568882559955835,0.00202623440332729,0.00021956100345651752,0.005802683662779362
2016,live,177143,0.006531446345607786,0.005447576251954635,0.0004403222255465923,0.012419344823109024
2017,live,147173,0.0035468462285881243,0.00358761457604316,0.0004008887499745198,0.007535349554605775
2018,live,139847,0.004011526882950653,0.0028388167068296066,0.0004933963545875135,0.0073437399443677664
2019,live,116127,0.002238928070130116,0.005399261153736857,0.0005941770647653001,0.00823236628863222
2020,live,113933,0.0011146902126688493,0.0027735598992390267,0.00039496897299289935,0.004283219084900813
2021,live,129868,0.0011011180583361568,0.0011242184371823697,0.00031570517756491205,0.002541041673083444
2022,live,104058,0.0018643448845835975,0.002046935362970651,0.0007015318380134156,0.00461281208556763
2023,live,107991,0.00482447611375022,0.002240927484697799,0.00034262114435462215,0.007408024742802666
2024,live,127230,0.007576829364143677,0.0066650947103670515,0.0002200738819460819,0.014461997956456862
2025,live,26397,0.0038640754631208093,0.004129257112550668,0.00026518164942985947,0.008258514225101377
