year,mode,n_president_turns,n_guest_turns,president_share
2000,all,101,206816,0.0004883568002475631
2001,all,6353,250527,0.025358544188849905
2002,all,4497,256842,0.017508818651155184
2003,all,4904,231610,0.02117352445922024
2004,all,8104,253551,0.031962011587412395
2005,all,6469,303108,0.021342227852778548
2006,all,8659,294950,0.0293575182234277
2007,all,4969,296370,0.016766204406653846
2008,all,2870,258555,0.011100152772137457
2009,all,12549,319587,0.03926630307240282
2010,all,5912,342768,0.01724781776595248
2011,all,5135,345894,0.014845588532903143
2012,all,8217,308014,0.026677358821352276
2013,all,7220,350589,0.02059391481193078
2014,all,5319,278961,0.019067181433963888
2015,all,4342,240621,0.01804497529309578
2016,all,6689,286274,0.0233657265417048
2017,all,24025,252077,0.09530817964352162
2018,all,24829,243121,0.10212610181761345
2019,all,23242,219904,0.10569157450523865
2020,all,23792,221425,0.10744947499153212
2021,all,10048,245157,0.040985980412551956
2022,all,6751,213396,0.03163601941929558
2023,all,5145,219789,0.023408814817848025
2024,all,7174,240910,0.02977875555186584
2025,all,5718,51050,0.11200783545543584
2000,clip,97,64248,0.0015097746233345786
2001,clip,4170,69787,0.05975324917248198
2002,clip,3352,62399,0.053718809596307635
2003,clip,3757,54098,0.06944803874450071
2004,clip,6110,82411,0.07414058802829719
2005,clip,4738,122548,0.03866240167118191
2006,clip,6811,134063,0.0508044725241118
2007,clip,3988,131237,0.030387771741201032
2008,clip,2373,108547,0.021861497784369903
2009,clip,10386,139666,0.07436312345166325
2010,clip,4216,132012,0.03193649062206466
2011,clip,3998,127947,0.031247313340680125
2012,clip,6801,119761,0.056788102971752075
2013,clip,5934,156896,0.037821231898837446
2014,clip,4520,100945,0.044776858685422756
2015,clip,3721,81212,0.045818351967689505
2016,clip,5286,109131,0.048437199329246505
2017,clip,20676,104904,0.19709448638755434
2018,clip,21128,103274,0.20458198578538644
2019,clip,20259,103777,0.1952166665060659
2020,clip,19173,107492,0.17836676217765043
2021,clip,8032,115289,0.069668398546262
2022,clip,5411,109338,0.04948874133421134
2023,clip,4102,111798,0.03669117515519061
2024,clip,5858,113680,0.05153061224489796
2025,clip,4124,24653,0.16728187238875594
2000,live,4,142568,2.805678693676e-05
2001,live,2183,180740,0.012078123270997013
2002,live,1145,194443,0.005888615172569853
2003,live,1147,177512,0.006461534994817252
2004,live,1994,171140,0.011651279654084376
2005,live,1731,180560,0.009586840939299957
2006,live,1848,160887,0.011486322698539969
2007,live,981,165133,0.005940666008611241
2008,live,497,150008,0.0033131566316463123
2009,live,2163,179921,0.012021942963856358
2010,live,1696,210756,0.008047220482453644
2011,live,1137,217947,0.005216864650580187
2012,live,1416,188253,0.007521792481394719
2013,live,1286,193693,0.006639372615427506
2014,live,799,178016,0.004488360596800287
2015,live,621,159409,0.0038956395184713537
2016,live,1403,177143,0.007920154903100884
2017,live,3349,147173,0.022755532604485876
2018,live,3701,139847,0.026464636352585325
2019,live,2983,116127,0.025687393973838988
2020,live,4619,113933,0.04054137080564894
2021,live,2016,129868,0.015523454584655188
2022,live,1340,104058,0.012877433738876396
2023,live,1043,107991,0.009658212258428943
2024,live,1316,127230,0.010343472451465848
2025,live,1594,26397,0.06038564988445657
