year,mode,rank,canonical_id,n_turns,share
2000,all,1,al gore,2487,0.012025181804115735
2000,all,2,william j clinton,2191,0.010593957914281294
2000,all,3,robert novak,1523,0.007364033730465728
2000,all,4,jonathan mann,1412,0.006827324771777812
2000,all,5,margaret carlson,1093,0.005284890917530559
2000,all,6,colleen mcedwards,1052,0.005086647067925112
2000,all,7,david boies,911,0.004404881633916138
2000,all,8,laura bush,818,0.0039552065604208575
2000,all,9,joe lockhart,802,0.003877843106916293
2000,all,10,tucker carlson,787,0.0038053148692557635
2000,all,11,george w. bush,777,0.003756962710815411
2000,all,12,janet reno,764,0.003694104904842952
2000,all,13,michael holmes,758,0.0036650936097787404
2000,all,14,phil beck,744,0.0035974005879622468
2000,all,15,richard roth,743,0.0035925653721182115
2001,all,1,george w. bush,6632,0.026472196609547076
2001,all,2,ari fleischer,4455,0.01778251445951933
2001,all,3,donald rumsfeld,2281,0.009104807066703389
2001,all,4,nathaniel brazill,1618,0.006458385722896135
2001,all,5,robert novak,1524,0.006083176663593146
2001,all,6,john ashcroft,1444,0.005763849804611879
2001,all,7,colin powell,1292,0.00515712877254747
2001,all,8,ok,1231,0.004913642042574253
2001,all,9,jonathan mann,1096,0.004374777968043365
2001,all,10,robert udell,1046,0.004175198681180072
2001,all,11,margaret carlson,970,0.0038718381651478683
2001,all,12,al hunt,947,0.003780031693190754
2001,all,13,richard butler,911,0.0036363346066491833
2001,all,14,mark geragos,861,0.0034367553197858914
2001,all,15,laura bush,831,0.003317007747667916
2002,all,1,george w. bush,4497,0.017508818651155184
2002,all,2,ari fleischer,2900,0.01129098823401157
2002,all,3,donald rumsfeld,2770,0.010784840485590363
2002,all,4,robert novak,1600,0.006229510749799488
2002,all,5,ok ok,1585,0.006171109086520118
2002,all,6,al hunt,1387,0.005400207131232431
2002,all,7,andy serwer,1190,0.004633198620163369
2002,all,8,margaret carlson,1127,0.004387911634390014
2002,all,9,cliff may,1037,0.0040375016547137925
2002,all,10,colin powell,1004,0.003909017995499179
2002,all,11,donna brazile,958,0.0037299195614424433
2002,all,12,james bone,927,0.003609222790665078
2002,all,13,charles moose,897,0.0034924194641063376
2002,all,14,kate o'beirne,873,0.0033989768028593456
2002,all,15,john ashcroft,869,0.0033834030259848468
2003,all,1,george w. bush,4904,0.02117352445922024
2003,all,2,andy serwer,3939,0.01700703769267303
2003,all,3,ari fleischer,2378,0.010267259617460386
2003,all,4,nancy grace,2050,0.008851085877121023
2003,all,5,donald rumsfeld,2019,0.008717240188247485
2003,all,6,robert novak,1644,0.007098139113164371
2003,all,7,colin powell,1424,0.006148266482448944
2003,all,8,al hunt,1291,0.0055740253011527996
2003,all,9,margaret carlson,1087,0.004693234316307586
2003,all,10,kate o'beirne,869,0.003751996891325936
2003,all,11,chris pixley,810,0.0034972583221795257
2003,all,12,andy borowitz,769,0.0033202366046371054
2003,all,13,cliff may,768,0.0033159190017702173
2003,all,14,richard clarke,744,0.003212296532964898
2003,all,15,donna brazile,737,0.0031820733128966796
2004,all,1,george w. bush,8104,0.031962011587412395
2004,all,2,andy serwer,7403,0.029197281809182372
2004,all,3,sarah bernard,2494,0.009836285402147892
2004,all,4,andy borowitz,1839,0.007252978690677615
2004,all,5,donald rumsfeld,1655,0.0065272864236386365
2004,all,6,bob novak,1632,0.006436574890258765
2004,all,7,al hunt,1365,0.005383532307109812
2004,all,8,margaret carlson,1195,0.004713055756041191
2004,all,9,kolo toure,1191,0.004697279837192517
2004,all,10,b j sigesmund,1181,0.004657840040070834
2004,all,11,condoleezza rice,1169,0.004610512283524814
2004,all,12,colin powell,1154,0.0045513525878422886
2004,all,13,kate o'beirne,1004,0.003959755631017034
2004,all,14,jayne weintraub,911,0.0035929655177853767
2004,all,15,allen wastler,892,0.003518029903254178
2005,all,1,andy serwer,7215,0.023803396809058158
2005,all,2,george w. bush,6469,0.021342227852778548
2005,all,3,andy borowitz,1154,0.0038072238278105495
2005,all,4,donald rumsfeld,1047,0.003454214339443367
2005,all,5,condoleezza rice,978,0.0032265727067579872
2005,all,6,owen lafave,925,0.0030517175396228406
2005,all,7,scott mcclellan,878,0.0028966572970690317
2005,all,8,george h w bush,856,0.0028240759069374614
2005,all,9,anne bremner,806,0.0026591182020929832
2005,all,10,bob novak,751,0.002477664726764058
2005,all,11,dannielle romano,712,0.002348997716985365
2005,all,12,jessica hahn,684,0.0022566214022724574
2005,all,13,jessica shaw,652,0.0021510484711719916
2005,all,14,allen wastler,621,0.002048774694168415
2005,all,15,bill clinton,613,0.0020223814613932987
2006,all,1,george w. bush,8659,0.0293575182234277
2006,all,2,andy serwer,6181,0.020956094253263266
2006,all,3,donald rumsfeld,1797,0.006092558060688252
2006,all,4,tony snow,1772,0.006007797931852857
2006,all,5,angelina jolie,1080,0.0036616375656891
2006,all,6,condoleezza rice,1073,0.003637904729615189
2006,all,7,jack hanna,944,0.0032005424648245467
2006,all,8,david gergen,914,0.0030988303102220715
2006,all,9,harvey levin,819,0.0027767418206475674
2006,all,10,sharon rocha,813,0.0027563993897270723
2006,all,11,al sharpton,743,0.0025190710289879643
2006,all,12,scott mcclellan,741,0.0025122902186811326
2006,all,13,liam neeson,718,0.0024343109001525682
2006,all,14,will ferrell,715,0.0024241396846923207
2006,all,15,john bolton,710,0.0024071876589252415
2007,all,1,george w. bush,4969,0.016766204406653846
2007,all,2,ok ok,1447,0.004882410500388028
2007,all,3,tony snow,1278,0.0043121773458852115
2007,all,4,al sharpton,1229,0.00414684347268617
2007,all,5,harvey levin,845,0.002851165772514087
2007,all,6,avery friedman,845,0.002851165772514087
2007,all,7,robert zimmerman,829,0.0027971792016735835
2007,all,8,paris hilton,800,0.0026993285420251712
2007,all,9,richard herman,774,0.0026116003644093533
2007,all,10,terri irwin,772,0.00260485204305429
2007,all,11,kathy griffin,747,0.002520498026116004
2007,all,12,amy holmes,713,0.002405776563079934
2007,all,13,errol louis,665,0.0022438168505584236
2007,all,14,diana west,657,0.002216823565138172
2007,all,15,dave karsnia,657,0.002216823565138172
2008,all,1,barack obama,3183,0.012310726924638858
2008,all,2,george w. bush,2870,0.011100152772137457
2008,all,3,john mccain,2348,0.009081239968285278
2008,all,4,michelle obama,2200,0.008508827908955541
2008,all,5,rob marciano,1601,0.006192106128289919
2008,all,6,bill clinton,1580,0.006110885498249889
2008,all,7,ok ok,1534,0.005932973641971728
2008,all,8,ben stein,1508,0.0058324147666840714
2008,all,9,cindy anthony,1365,0.005279340952601961
2008,all,10,casey anthony,1332,0.0051517085339676276
2008,all,11,kathy griffin,1256,0.004857767206203709
2008,all,12,hillary clinton,1163,0.004498075844597861
2008,all,13,robert zimmerman,1108,0.004285355146873972
2008,all,14,ed rollins,1092,0.004223472762081569
2008,all,15,jamal simmons,889,0.0034383400050279436
2009,all,1,barack obama,12542,0.03924439980349639
2009,all,2,robert gibbs,3567,0.011161280027034893
2009,all,3,rob marciano,2750,0.008604855641812714
2009,all,4,cindy anthony,1909,0.005973334334625626
2009,all,5,ok ok,1681,0.005259913575958972
2009,all,6,jermaine jackson,1562,0.004887558004549622
2009,all,7,casey anthony,1545,0.004834364351491143
2009,all,8,kathy griffin,1302,0.00407400801659642
2009,all,9,avery friedman,1163,0.003639071676882977
2009,all,10,michelle obama,866,0.002709747267567204
2009,all,11,hillary clinton,863,0.00270036015232159
2009,all,12,barack h obama,822,0.0025720695772982003
2009,all,13,michael steele,818,0.002559553423637382
2009,all,14,jacqui jeras,762,0.002384327272385923
2009,all,15,richard herman,759,0.0023749401571403093
2010,all,1,barack obama,5912,0.01724781776595248
2010,all,2,chad myers,3678,0.010730289875367595
2010,all,3,rob marciano,3429,0.010003851001260328
2010,all,4,jacqui jeras,2302,0.006715912803995705
2010,all,5,misty croslin,2184,0.0063716566307239885
2010,all,6,reynolds wolf,1905,0.005557695000700182
2010,all,7,kathy griffin,1667,0.0048633478037623116
2010,all,8,pete dominick,1650,0.004813751575409607
2010,all,9,avery friedman,1207,0.003521332213042058
2010,all,10,robert gibbs,1106,0.0032266722681230453
2010,all,11,richard herman,1087,0.0031712411893759043
2010,all,12,george w. bush,916,0.002672361480651636
2010,all,13,willie nelson,873,0.0025469121971712647
2010,all,14,shirley sherrod,845,0.002465224291649162
2010,all,15,cornell belcher,778,0.0022697568034355598
2011,all,1,barack obama,5135,0.014845588532903143
2011,all,2,rob marciano,3223,0.009317883513446316
2011,all,3,reynolds wolf,2986,0.0086327025042354
2011,all,4,jacqui jeras,2621,0.007577465928868382
2011,all,5,casey anthony,2419,0.006993471988528278
2011,all,6,cindy anthony,2122,0.006134827432681689
2011,all,7,chad myers,2062,0.005961363886046014
2011,all,8,donald trump,1672,0.00483385083291413
2011,all,9,jean casarez,1544,0.004463795266758024
2011,all,10,jose baez,1393,0.004027245341058243
2011,all,11,richard herman,1271,0.003674536129565705
2011,all,12,charlie sheen,1135,0.003281352090524843
2011,all,13,holly hughes,1083,0.003131017016773925
2011,all,14,george anthony,1054,0.003047176302566682
2011,all,15,avery friedman,1038,0.003000919356797169
2012,all,1,barack obama,8217,0.026677358821352276
2012,all,2,chad myers,2502,0.008123007395767726
2012,all,3,rob marciano,2119,0.006879557422714552
2012,all,4,mitt romney,2108,0.006843844760303103
2012,all,5,reynolds wolf,1293,0.004197861136182122
2012,all,6,ann romney,1030,0.0033440038439811175
2012,all,7,stephen moore,1015,0.0032953047588745966
2012,all,8,holly hughes,987,0.0032043998000090904
2012,all,9,jack hanna,901,0.002925191712065036
2012,all,10,bill clinton,898,0.0029154518950437317
2012,all,11,avery friedman,885,0.002873246021284747
2012,all,12,richard herman,804,0.002610270961709533
2012,all,13,joe biden,770,0.002499886368801418
2012,all,14,former gov mitt romney,767,0.0024901465517801137
2012,all,15,lisa bloom,767,0.0024901465517801137
2013,all,1,jodi arias,8705,0.024829643827958093
2013,all,2,barack obama,7220,0.02059391481193078
2013,all,3,juan martinez,4465,0.012735710475799298
2013,all,4,mark o'mara,3878,0.011061385268790521
2013,all,5,bernie de la rionda,2584,0.0073704537221647
2013,all,6,indra petersons,2407,0.006865589051567505
2013,all,7,don west,2361,0.006734381284067669
2013,all,8,chad myers,2033,0.0057988128549384035
2013,all,9,rachel jeantel,1914,0.005459384065101871
2013,all,10,frank taaffe,1504,0.00428992352869029
2013,all,11,andy scholes,1417,0.004041769707549296
2013,all,12,alyce laviolette,1376,0.003924823653908138
2013,all,13,jay carney,1374,0.003919118968364666
2013,all,14,mark eiglarsh,1257,0.003585394864071605
2013,all,15,george zimmerman,1211,0.0034541870965717693
2014,all,1,barack obama,5319,0.019067181433963888
2014,all,2,indra petersons,2010,0.007205308268897803
2014,all,3,anthony bourdain,1339,0.00479995411544983
2014,all,4,ok ok,1271,0.004556192442671198
2014,all,5,susan sarandon,1243,0.004455819989174114
2014,all,6,anahita sedaghatfar,1242,0.004452235258692075
2014,all,7,chad myers,1217,0.004362616996641108
2014,all,8,donald sterling,1166,0.004179795742057134
2014,all,9,judy ho,1084,0.0038858478425299594
2014,all,10,michael dunn,1024,0.003670764013607637
2014,all,11,vanessa barnett,1000,0.003584730482038708
2014,all,12,leeann tweeden,979,0.003509451141915895
2014,all,13,john kerry,923,0.0033087062349217273
2014,all,14,josh earnest,898,0.00321908797287076
2014,all,15,jodi arias,863,0.003093622405999405
2015,all,1,donald trump,4392,0.01825277095515354
2015,all,2,barack obama,4342,0.01804497529309578
2015,all,3,vanessa barnett,1714,0.007123235295339974
2015,all,4,judy ho,1652,0.006865568674388353
2015,all,5,ok ok,1501,0.006238025774973921
2015,all,6,areva martin,1468,0.006100880638015801
2015,all,7,josh earnest,1036,0.004305526117836764
2015,all,8,hillary clinton,976,0.004056171323367453
2015,all,9,harry houck,961,0.003993832624750126
2015,all,10,segun oduolowu,949,0.0039439616658562635
2015,all,11,brian rogers,860,0.0035740853873934527
2015,all,12,jeb bush,827,0.003436940250435332
2015,all,13,pedram javaheri,822,0.003416160684229556
2015,all,14,jonathan gilliam,794,0.003299795113477211
2015,all,15,john kerry,741,0.003079531711695987
2016,all,1,donald trump,16219,0.05665551185228138
2016,all,2,barack obama,6689,0.0233657265417048
2016,all,3,hillary clinton,5336,0.018639485248398386
2016,all,4,kellyanne conway,2748,0.009599195176648945
2016,all,5,bernie sanders,1696,0.00592439411193472
2016,all,6,jeffrey lord,1625,0.005676379971635566
2016,all,7,kayleigh mcenany,1587,0.005543640009221934
